Membership No  Date Joined  Active  
    85964      2017-7-6     no    
    36463      2020-12-12   no    
    52866      2015-9-19    no    
    21509      2015-10-15   no    
    90774      2017-6-4     no    
    85051      2019-9-21    no    
    70762      2017-7-9     no    
    55463      2019-1-21    no    
    83212      2019-5-24    no    
    95119      2020-11-19   no    
    79282      2020-6-13    no    
    88748      2015-10-13   no    
    70083      2020-8-10    no    
    60351      2017-10-9    no    
